Date,SPY,AMZN
22/05/2020,278.190125,121.844002
26/05/2020,281.617554,121.093002
27/05/2020,285.80777,120.519501
28/05/2020,285.280487,120.055
29/05/2020,286.551697,122.1185
1/06/2020,287.709808,123.552002
2/06/2020,290.092102,123.620499
3/06/2020,293.952789,123.919998
4/06/2020,293.180542,123.029999
5/06/2020,300.694672,124.150002
8/06/2020,304.329315,126.203003
9/06/2020,302.060059,130.042999
10/06/2020,300.374512,132.372498
11/06/2020,283.058197,127.898003
12/06/2020,286.44812,127.250999
15/06/2020,289.122284,128.634003
16/06/2020,294.687195,130.763504
17/06/2020,293.463104,132.048996
18/06/2020,293.57608,132.699005
19/06/2020,291.898346,133.750504
22/06/2020,293.770905,135.690994
23/06/2020,295.123352,138.220505
24/06/2020,287.595154,136.720001
25/06/2020,290.678284,137.729004
26/06/2020,283.774261,134.643494
29/06/2020,287.945068,134.018997
30/06/2020,291.633575,137.940994
1/07/2020,293.6763,143.934998
2/07/2020,295.29361,144.514999
6/07/2020,299.852112,152.852005
7/07/2020,296.759521,150.005997
8/07/2020,299.029327,154.055496
9/07/2020,297.326965,159.1315
10/07/2020,300.362823,160
13/07/2020,297.761963,155.199997
14/07/2020,301.620697,154.199997
15/07/2020,304.391754,150.443497
16/07/2020,303.389313,149.994995
17/07/2020,304.26889,148.098495
20/07/2020,306.727844,159.841995
21/07/2020,307.38031,156.914505
22/07/2020,309.130005,154.995499
23/07/2020,305.441498,149.327499
24/07/2020,303.474426,150.445496
27/07/2020,305.687469,152.760498
28/07/2020,303.748657,150.016495
29/07/2020,307.484406,151.676498
30/07/2020,306.387299,152.593994
31/07/2020,308.808502,158.233994
3/08/2020,310.955322,155.594498
4/08/2020,312.156403,156.941498
5/08/2020,314.095245,160.251495
6/08/2020,316.194763,161.25
7/08/2020,316.421783,158.373001
10/08/2020,317.367523,157.408005
11/08/2020,314.747803,154.033493
12/08/2020,319.136108,158.112
13/08/2020,318.559204,158.050995
14/08/2020,318.568726,157.401001
17/08/2020,319.580597,159.120499
18/08/2020,320.270966,165.624496
19/08/2020,318.937469,163.024002
20/08/2020,319.930542,164.8685
21/08/2020,321.065399,164.235992
24/08/2020,324.318878,165.373001
25/08/2020,325.453766,167.324493
26/08/2020,328.716705,172.092499
27/08/2020,329.435364,170
28/08/2020,331.563354,170.089996
31/08/2020,330.362244,172.548004
1/09/2020,333.473816,174.955994
2/09/2020,338.29718,176.572495
3/09/2020,326.654907,168.399994
4/09/2020,323.987885,164.731003
8/09/2020,315.135529,157.492004
9/09/2020,321.358612,163.430496
10/09/2020,315.778687,158.755493
11/09/2020,315.939484,155.811005
14/09/2020,320.100739,155.148499
15/09/2020,321.718048,157.806503
16/09/2020,320.441315,153.904999
17/09/2020,317.622925,150.436493
18/09/2020,313.966187,147.745499
21/09/2020,310.471863,148.023499
22/09/2020,313.633881,156.449493
23/09/2020,306.360413,149.992996
24/09/2020,307.177032,150.989502
